,amenity,longitude,latitude
0,arts_centre,-157.8417845,21.3325948
1,fire_station,-157.79453,21.2996309
2,fire_station,-157.8786111,21.3344444
3,arts_centre,-157.8566667,21.3411111
4,fire_station,-157.7993611,21.278465
5,fire_station,-157.878792,21.3216304
6,fire_station,-157.8680556,21.3144444
7,hospital,-157.856111,21.3213889
8,library,-157.875,21.3363889
9,library,-157.8603326,21.3206642
10,theatre,-157.8551266,21.3067203
11,theatre,-157.8203895,21.2958926
12,community_centre,-157.879665,21.3321522
13,hospital,-157.899779,21.3633504
14,cafe,-157.830167,21.2795439
15,cafe,-157.832481,21.2787335
16,post_office,-157.8109886,21.3084449
17,cinema,-157.8534192,21.294527
18,cinema,-157.787694,21.2773916
19,school,-157.8066954,21.2859839
20,school,-157.8057932,21.2847461
21,school,-157.807924,21.2887438
22,fast_food,-157.8115119,21.2892108
23,restaurant,-157.8323852,21.2871109
24,restaurant,-157.8540522,21.2943374
25,fast_food,-157.8064719,21.2869027
26,fast_food,-157.809648,21.2879026
27,fast_food,-157.809634,21.2880013
28,parking,-157.8078439,21.2865529
29,restaurant,-157.8271625,21.2936647
30,restaurant,-157.827314,21.2936994
31,bar,-157.8289564,21.291065
32,cafe,-157.8269772,21.2769836
33,place_of_worship,-157.6778522,21.2810285
34,toilets,-157.817175,21.2716993
35,toilets,-157.8184957,21.2713894
36,restaurant,-157.8189389,21.2716898
37,restaurant,-157.839411,21.300748
38,restaurant,-157.8141769,21.2800979
39,restaurant,-157.8469024,21.2954064
40,restaurant,-157.8143233,21.2829057
41,restaurant,-157.8741535,21.3160414
42,parking,-157.8705473,21.3177359
43,parking,-157.8696997,21.3185155
44,fast_food,-157.8044689,21.2853533
45,place_of_worship,-157.8054409,21.2852206
46,cafe,-157.8532043,21.2938376
47,fast_food,-157.8534194,21.2939376
48,cafe,-157.8422313,21.2944205
49,parking,-157.8404628,21.2926258
50,parking,-157.8220842,21.2934059
51,fast_food,-157.8097984,21.2885307
52,parking,-157.8539454,21.3052308
53,bank,-157.7053888,21.2770353
54,restaurant,-157.8661438,21.3063947
55,bank,-157.862083,21.3087776
56,bank,-157.8613781,21.3078648
57,school,-157.8339459,21.3013886
58,fast_food,-157.8112889,21.2892921
59,restaurant,-157.8112439,21.289361
60,restaurant,-157.8111959,21.2894182
61,restaurant,-157.8114199,21.2893716
62,parking_entrance,-157.8564232,21.307957
63,parking_entrance,-157.8564983,21.3080969
64,parking,-157.8565065,21.3079839
65,restaurant,-157.8279879,21.2787995
66,theatre,-157.829366,21.2784951
67,post_office,-157.786188,21.2749911
68,bicycle_parking,-157.7854174,21.2753706
69,restaurant,-157.7860538,21.2778679
70,dojo,-157.8215644,21.2921199
71,cafe,-157.7987956,21.2824407
72,training,-157.800382,21.2821404
73,restaurant,-157.7999429,21.2830001
74,restaurant,-157.800343,21.2835855
75,restaurant,-157.797506,21.2821699
76,restaurant,-157.79943,21.282806
77,restaurant,-157.7993214,21.2826478
78,restaurant,-157.837234,21.2970979
79,cafe,-157.843961,21.2913495
80,restaurant,-157.8440016,21.2903803
81,restaurant,-157.8394232,21.2847989
82,parking_entrance,-157.8495502,21.3001378
83,parking,-157.7973424,21.2988665
84,parking,-157.7867378,21.2758484
85,cafe,-157.8103515,21.3091661
86,bank,-157.810952,21.3082403
87,post_box,-157.799097,21.2826934
88,post_box,-157.844285,21.2918813
89,atm,-157.8424888,21.2948302
90,atm,-157.842108,21.2934458
91,school,-157.841416,21.2930816
92,drinking_water,-157.8224912,21.2703462
93,drinking_water,-157.8231719,21.272039
94,toilets,-157.8225381,21.2699062
95,parking,-157.8080822,21.2897595
96,post_box,-157.860883,21.306615
97,post_box,-157.860551,21.306615
98,post_box,-157.862258,21.3129178
99,post_box,-157.701685,21.289016
100,cafe,-157.8529967,21.2929117
101,restaurant,-157.8273261,21.2940443
102,post_box,-157.8563444,21.2961719
103,toilets,-157.858581,21.3168326
104,bench,-157.8579514,21.3157732
105,bench,-157.8578764,21.3158279
106,bench,-157.8580935,21.3158307
107,waste_basket,-157.8572525,21.3163929
108,fast_food,-157.861009,21.3098611
109,restaurant,-157.8653668,21.3062709
110,restaurant,-157.8744956,21.3163549
111,restaurant,-157.8369239,21.2842142
112,restaurant,-157.837111,21.2841177
113,restaurant,-157.8371774,21.2840879
114,restaurant,-157.829833,21.2795085
115,bar,-157.8226676,21.2717924
116,drinking_water,-157.8249987,21.27525
117,fast_food,-157.8258616,21.2757782
118,shower,-157.82589,21.2756913
119,cafe,-157.828538,21.2784576
120,bar,-157.829064,21.2785475
121,toilets,-157.8238992,21.2735857
122,restaurant,-157.8242859,21.2748129
123,restaurant,-157.8241926,21.2758128
124,drinking_water,-157.8056717,21.2635846
125,toilets,-157.8008364,21.2687091
126,toilets,-157.6959993,21.2732363
127,toilets,-157.801545,21.3330798
128,restaurant,-157.8087063,21.3103851
129,cafe,-157.8088632,21.310295
130,cafe,-157.8302397,21.2804667
131,parking,-157.8627363,21.3229342
132,bench,-157.858589,21.3169301
133,bench,-157.8586273,21.3168696
134,bench,-157.8586625,21.3168264
135,bench,-157.8586973,21.316786
136,bench,-157.8587222,21.3170371
137,bench,-157.8583232,21.3163152
138,bench,-157.8583638,21.3162829
139,cafe,-157.8614965,21.3079292
140,fountain,-157.854024,21.3058943
141,cafe,-157.9240182,21.3335537
142,fast_food,-157.9239344,21.3340385
143,bar,-157.9239536,21.3339209
144,fast_food,-157.9239447,21.3339777
145,fast_food,-157.9239235,21.334097
146,ice_cream,-157.9239163,21.3341567
147,bar,-157.9242928,21.3324081
148,toilets,-157.9245699,21.3322775
149,cafe,-157.923772,21.3348796
150,cafe,-157.705513,21.2771764
151,restaurant,-157.7106988,21.2830153
152,toilets,-157.7116329,21.2828547
153,cafe,-157.8629655,21.3071967
154,post_box,-157.863409,21.3072333
155,drinking_water,-157.8572674,21.3170757
156,post_box,-157.844254,21.304045
157,cafe,-157.8386715,21.2918299
158,fast_food,-157.8387208,21.2917232
159,fast_food,-157.83862,21.2919489
160,post_box,-157.86269,21.309859
161,clinic,-157.85689,21.2970276
162,clinic,-157.8569302,21.2970214
163,bank,-157.8568605,21.2959165
164,cafe,-157.861739,21.2979782
165,bench,-157.8532326,21.2905794
166,bench,-157.8526579,21.2903931
167,waste_basket,-157.8531467,21.2918993
168,drinking_water,-157.8529735,21.2918454
169,waste_basket,-157.8493825,21.2906372
170,waste_basket,-157.8501245,21.2908258
171,waste_basket,-157.8500817,21.2899487
172,waste_basket,-157.8495072,21.2898078
173,waste_basket,-157.849442,21.290175
174,waste_basket,-157.8528711,21.2905654
175,drinking_water,-157.8491073,21.2894226
176,drinking_water,-157.8487532,21.2892901
177,waste_basket,-157.8490965,21.2895376
178,waste_basket,-157.8489222,21.2893001
179,waste_basket,-157.8481494,21.2894168
180,waste_basket,-157.8480115,21.289255
181,drinking_water,-157.8482569,21.2891342
182,drinking_water,-157.8477513,21.290468
183,waste_basket,-157.8477938,21.2905244
184,waste_basket,-157.8476651,21.2901203
185,drinking_water,-157.8461035,21.2898224
186,waste_basket,-157.8459828,21.2898245
187,waste_basket,-157.8448487,21.2892831
188,waste_basket,-157.8448943,21.2887805
189,waste_basket,-157.846128,21.28906
190,waste_basket,-157.8459748,21.2888075
191,waste_basket,-157.8451077,21.2884728
192,waste_basket,-157.8455754,21.2885129
193,waste_basket,-157.8438189,21.2890252
194,waste_basket,-157.8439593,21.2889036
195,drinking_water,-157.8430719,21.2890571
196,waste_basket,-157.8428949,21.2886916
197,waste_basket,-157.8428488,21.2885805
198,waste_basket,-157.8423014,21.2882918
199,waste_basket,-157.8420975,21.2886645
200,waste_basket,-157.8418206,21.2884494
201,restaurant,-157.833186,21.2777786
202,restaurant,-157.8397764,21.2852049
203,parking_entrance,-157.8394125,21.2853152
204,parking_entrance,-157.9110507,21.3441883
205,parking_entrance,-157.9101832,21.3442334
206,fire_station,-157.9007347,21.345171
207,parking_entrance,-157.906921,21.344176
208,restaurant,-157.7854258,21.2750774
209,cafe,-157.7071137,21.2841217
210,parking_entrance,-157.842785,21.2952453
211,recycling,-157.8463753,21.3018721
212,cafe,-157.8381414,21.3054717
213,bar,-157.8401015,21.2996611
214,parking_entrance,-157.8434892,21.2897788
215,parking_entrance,-157.8435627,21.2898141
216,parking_entrance,-157.8436104,21.2898368
217,marketplace,-157.835786,21.2852671
218,restaurant,-157.8202903,21.2746984
219,bench,-157.857632,21.3170913
220,restaurant,-157.8468782,21.3301173
221,bicycle_repair_station,-157.8181892,21.2985102
222,bicycle_repair_station,-157.8545232,21.3042799
223,dressing_room,-157.801128,21.2706152
224,dressing_room,-157.801257,21.2704446
225,dressing_room,-157.800913,21.2704153
226,bar,-157.826476,21.2798661
227,restaurant,-157.8250095,21.2786591
228,restaurant,-157.8260414,21.279487
229,fast_food,-157.8271163,21.279905
230,fast_food,-157.8259207,21.2796205
231,fast_food,-157.825971,21.2794272
232,bank,-157.830465,21.2806657
233,parking,-157.8019214,21.3312981
234,parking_entrance,-157.8500455,21.2929349
235,bank,-157.8297043,21.2945306
